Tabel;Väli;Selgitus
aadress;TABEL 1.1;"Isiku või koha aadress"
aadress;created;"kirje loomise aeg"
aadress;modified;"kirje viimase muutmise aeg"
aadress;creator;"kirje looja isikukood"
aadress;modifier;"kirje viimase muutja isikukood"
aadress;id;"kirje identifikaator"
aadress;kood1;"1. taseme komponent - maakond"
aadress;kood2;"2. taseme komponent - omavalitsus"
aadress;kood3;"3. taseme komponent - asustusüksus"
aadress;kood4;"4. taseme komponent - väikekoht"
aadress;kood5;"5. taseme komponent - liikluspind"
aadress;kood6;"6. taseme komponent - nimi"
aadress;kood7;"7. taseme komponent - aadressnumber"
aadress;kood8;"8. taseme komponent - hoone osa"
aadress;tais_aadress;"täisaadress tekstina"
aadress;lahi_aadress;"lähiaadress tekstina"
aadress;sihtnumber;"sihtnumber"
aadress;staatus;"olek: 0 - aadress on sisestamata, 1 - aadress on sisestatud, kuid selle vastet ADSis ei ole veel otsitud, 2 - ADSist ühest vastet ei leitud, 3 - ADSi vaste on leitud, 4 - ADSis kehtetu,"
aadress;ads_log_id;"ADS muudatuse kirje logId"
aadress;uus_adr_id;"kui kirje on tühistatud, siis kehtiva kirje ID"
aadresskomponent;TABEL 1.2;"Koopia aadressiandmete süsteemi (ADS) aadressikomponentide klassifikaatorist"
aadresskomponent;created;"kirje loomise aeg"
aadresskomponent;modified;"kirje viimase muutmise aeg"
aadresskomponent;id;"kirje identifikaator"
aadresskomponent;tase;"komponendi tase: 1 - maakond, 2 - omavalitsus, 3 - asustusüksus, 4 - väikekoht (AÜ AK, GÜ), 5 - liikluspind (tee, tänav), 6 - nimi, 7 - aadressnumber (maja, krunt), 8 - hoone osa (number- ja/või tähtlisand)"
aadresskomponent;kood;"komponendi kood, unikaalne taseme piires, tasemel 1 on 2 kohta, tasemel 2 on 3 kohta, tasemetel 3-8 on 4 kohta"
aadresskomponent;nimetus;"nimetus"
aadresskomponent;nimetus_liigiga;"nimetus liigiga"
aadresskomponent;ylemkomp_tase;"ülemkomponendi tase"
aadresskomponent;ylemkomp_kood;"ülemkomponendi kood"
aadresskomponent;staatus;"olek: 1 - kehtiv, 0 - kehtetu"
aadresskomponent;ads_log_id;"ADS muudatuse kirje logId"
abiinfo;TABEL 1.3;"Abiinfo"
abiinfo;created;"kirje loomise aeg"
abiinfo;modified;"kirje viimase muutmise aeg"
abiinfo;creator;"kirje looja isikukood"
abiinfo;modifier;"kirje viimase muutja isikukood"
abiinfo;vorm;"vormi nimi"
abiinfo;kood;"välja nimi vormil"
abiinfo;sisu;"abiinfo sisu"
abiinfo;url;"juhendi URL"
abivahend;TABEL 1.4;"Ülesande lahendamise abivahend"
abivahend;created;"kirje loomise aeg"
abivahend;modified;"kirje viimase muutmise aeg"
